Category,Company,Key Contact,Phone,Email,Contact Strategy,Lead Score,Subject Line,Message
Jewellery & Luxury Watches,Kennedy Luxury,P. Moroney,(03) 8614 1100,p.moroney@kennedy.com.au,Kennedy Oaks. The premium retailer for Rolex/Patek; focus on CRM.,,,
Jewellery & Luxury Watches,Rolex AU,B. Falletti,(03) 9654 4988,benoit.falletti@rolex.com,"Australian Open / Grand Prix. Focus on ""Timing Partner"" exclusivity.",,,
Jewellery & Luxury Watches,Hardy Brothers,Stuart Bishop,(07) 3625 0300,sbishop@hardybrothers.com.au,"PSI Dressage. Traditional equestrian link; pitch the ""New Wave"" Polo.",,,
Jewellery & Luxury Watches,Tiffany & Co.,Catherine Astor,(02) 9225 3333,catherine.astor@tiffany.com,"Major Trophies. Focus on the ""F3 Trophy"" as a branding centerpiece.",,,
Jewellery & Luxury Watches,TAG Heuer,National Mgr,(02) 9316 7165,marketing.anz@tagheuer.com,"Motorsports. Align the ""F3"" brand with their racing heritage.",,,
Jewellery & Luxury Watches,Cartier AU,Marketing Dir,(02) 8240 6600,marketing.au@cartier.com,"International Polo. Use the global ""Cartier Queen's Cup"" legacy.",,,
Jewellery & Luxury Watches,Bvlgari AU,Brand Manager,(02) 9233 3611,marketing.au@bulgari.com,"High Fashion. Pitch the ""After Party"" as a high-society ""Roman Night.""",,,
Jewellery & Luxury Watches,Paspaley,Marketing Lead,(02) 9232 4444,marketing@paspaley.com.au,"Luxury Brand of the Year. Pitch as the ""Aussie Luxury"" anchor.",,,
Jewellery & Luxury Watches,IWC,Marketing Mgr,(03) 9251 1000,marketing.au@iwc.com,"Tribeca Film Fest. Pitch the ""Storytelling"" and ""Aviation"" angle.",,,
Jewellery & Luxury Watches,Omega,Brand Manager,(03) 8844 3300,marketing.au@swatchgroup.com,"Olympic Games. Focus on their role as the ""Ultimate Timekeeper.""",,,
Jewellery & Luxury Watches,Hublot AU,Brand Director,(02) 9221 2288,sponsoring@hublot.com,"Ferrari / FIFA. Pitch as the ""Bold & Disruptive"" alternative to Rolex.",,,
Jewellery & Luxury Watches,The Hour Glass,Marketing Lead,(02) 9221 2288,marketing.au@thehourglass.com,Private Client hosting. Sell as a turnkey VIP hosting day.,,,
Jewellery & Luxury Watches,Piaget AU,Marketing Mgr,(03) 9251 1000,marketing.au@piaget.com,Polo Heritage. Link to the Piaget Polo watch line specifically.,,,
Jewellery & Luxury Watches,Longines AU,Brand Mgr,(03) 8844 3300,marketing@longines.com.au,World Equestrian Games. The most natural fit for timing horses.,,,
Jewellery & Luxury Watches,Van Cleef,Marketing Lead,(02) 8047 8400,marketing.au@vancleefarpels.com,"The Arts. Pitch as the ""Poetic"" and ""Graceful"" side of the sport.",,,
Jewellery & Luxury Watches,Chopard AU,Brand Manager,(02) 9232 4422,marketing.au@chopard.com,"Classic Racing. Align with the ""Speed & Elegance"" theme.",,,
Jewellery & Luxury Watches,Graff AU,Marketing Lead,(03) 9654 4988,marketing.au@graff.com,"Diamond auctions. Focus on the high-ticket ""Champagne & Diamonds"" lunch.",,,
Jewellery & Luxury Watches,Jan Logan,Marketing Mgr,(02) 9212 1644,marketing@janlogan.com,"Film Industry. Focus on the Sydney ""Society"" demographic.",,,
Jewellery & Luxury Watches,Canturi,Marketing Lead,(02) 9233 8888,marketing@canturi.com,Philanthropy. Pitch as a platform for a high-end charity auction.,,,
Jewellery & Luxury Watches,Showcase Jewellers,Partnerships,(02) 9410 1377,info@showcasejewellers.com.au,Trade Shows. Use for B2B hospitality for their store owners.,,,
Finance & Private Wealth,Macquarie,Head of Mktg,(02) 8232 3333,branding@macquarie.com,"Sydney Symphony. Focus on the ""Intellectual High Life.""",,,
Finance & Private Wealth,CBA Private,EGM Private,(02) 9118 1133,privatebank@cba.com.au,"Matildas. Pitch the gender-neutral ""Polo for Everyone"" angle.",,,
Finance & Private Wealth,Westpac Private,Head of Private,(02) 9155 7710,privatebank@westpac.com.au,"Life Saver Rescue. Focus on the ""Community Legacy"" of the Brisbane event.",,,
Finance & Private Wealth,NAB Private,Executive GM,(03) 8634 2305,private@nab.com.au,"AFL. Pitch as the ""Premium/C-Suite"" hospitality alternative to footy.",,,
Finance & Private Wealth,ANZ Private,Marketing Lead,(03) 8654 0000,private@anz.com,"Australian Open. Use as a ""Spring Warm-up"" for their 2027 tennis plans.",,,
Finance & Private Wealth,J.P. Morgan,Marketing Dir,(02) 9003 8888,au.marketing@jpmorgan.com,"Invictus Games. Align with the ""Tough & Noble"" spirit of polo.",,,
Finance & Private Wealth,Perpetual,Head of Mktg,(02) 9229 9000,marketing@perpetual.com.au,"Perpetual Private Wealth. Focus on ""Generational Wealth"" hosting.",,,
Finance & Private Wealth,Morgan Stanley,Head of Mktg,(02) 9770 1111,branding@morganstanley.com,"Golf / Tennis. Use for HNW client engagement; very ""Social Club.""",,,
Finance & Private Wealth,Goldman Sachs,Private Wealth,(02) 9320 1100,au.marketing@gs.com,"Global Arts. Focus on the ""Boutique & Exclusive"" nature of F3.",,,
Finance & Private Wealth,Australian Ethical,Partnerships,(02) 8276 6288,info@australianethical.com.au,"ESG Leaders. Pitch the ""Ethical Pony Welfare"" and green event focus.",,,
Finance & Private Wealth,UBS Australia,Marketing Mgr,(02) 9324 2000,marketing.au@ubs.com,"Contemporary Art. Pitch as a ""Visual Spectacle"" for their art clients.",,,
Finance & Private Wealth,Canaccord,Head of Wealth,(02) 9263 2700,marketing@cgf.com,"Local Sports. Focus on the Brisbane/Sydney ""Business Corridor.""",,,
Finance & Private Wealth,Ord Minnett,Marketing Mgr,(02) 8216 6300,marketing@ordminnett.com.au,"Sailing. Overlap with the high-stakes ""Harbour"" wealth crowd.",,,
Finance & Private Wealth,Wilsons,Head of Mktg,(07) 3119 2200,marketing@wilsonsadvisory.com.au,QLD Wealth. Primary target for the Brisbane Oct 31 launch.,,,
Finance & Private Wealth,Evans & Partners,Brand Lead,(03) 9631 9888,marketing@evansandpartners.com.au,"Private Investment. Sell a turnkey ""Investors Marquee.""",,,
Finance & Private Wealth,Escala Partners,Managing Partner,(03) 8888 7200,info@escalapartners.com.au,"Boutique Wealth. Focus on the ""Personalized"" nature of F3 Polo.",,,
Finance & Private Wealth,Crestone,Head of Mktg,(02) 8422 5500,marketing@crestone.com.au,"LGT Wealth. International focus; pitch the ""Global Tour"" feel.",,,
Finance & Private Wealth,BDO Private,Marketing Mgr,(07) 3237 5999,marketing@bdo.com.au,Trade & Business. Target for SME owners attending the events.,,,
Finance & Private Wealth,KPMG Private,Partnerships,(02) 9335 7000,partnerships@kpmg.com.au,"Innovation awards. Align with the ""F3 - Future"" tech angle.",,,
Finance & Private Wealth,Deloitte Private,Marketing Mgr,(03) 9671 7000,marketing@deloitte.com.au,Mid-market growth. Use for B2B hospitality and networking.,,,
Automotive,Lexus AU,Jack Hobbs (CEO),(03) 9647 4444,jack.hobbs@lexus.com.au,Melbourne Cup. Pitch as the elite performance extension of their racing portfolio.,,,
Automotive,Audi AU,Nick Reid (GM Mktg),(02) 9126 7000,nick.reid@audi.com.au,"Audi Sailing Series. Align F3 ""precision"" with their existing elite sailing assets.",,,
Automotive,BMW AU,Alex McLean,(03) 9264 4000,alex.mclean@bmw.com.au,"BMW Golf Cup. Target the ""precision performance"" overlap between golf and polo.",,,
Automotive,Mercedes-Benz,M. Pasiopoulos,(03) 8546 8100,matthew.pasiopoulos@mercedes-benz.com,"Fashion Week. Focus on the ""social elegance"" of the F3 Sydney event.",,,
Automotive,Porsche AU,Alexis Truscott,(03) 9473 0911,alexis.truscott@porsche.com.au,"Porsche Carrera Cup. Pitch their 75th-year legacy (2026) as ""unrivaled speed.""",,,
Automotive,Volvo AU,Stephen Connor,(02) 8574 1200,stephen.connor@volvocars.com,"Sustainability Awards. Pitch as the ""Silent Power"" EV partner for 2026.",,,
Automotive,Range Rover,Rowel Johnston,(02) 9020 1400,rowel.johnston@jaguarlandrover.com,"Polo in the City. The traditional incumbent; pitch as the ""next-gen"" upgrade.",,,
Automotive,Ferrari,Janine McPhee,(02) 8345 5100,janine.mcphee@ferrari.com,"F1 Grand Prix. Focus on the ""F3"" branding to align with their racing DNA.",,,
Automotive,Aston Martin,Brand Manager,(02) 8336 4400,marketing.anz@astonmartin.com,Global Polo heritage. Use their international link to the sport.,,,
Automotive,Bentley,Marketing Lead,(02) 8336 4400,info@bentleymotors.com.au,Luxury Travel. Pitch the Brisbane event as a high-society getaway.,,,
Automotive,Lamborghini,Brand Manager,(03) 9005 6000,marketing@lamborghini.com.au,"Supercar Club. Target the ""Exotic"" crowd; high energy/high speed pitch.",,,
Automotive,Maserati,Marketing Lead,(02) 9360 1155,info@maserati.com.au,"Elite Sailing. Align with the ""Old Money"" coastal demographics of Sydney.",,,
Automotive,Genesis,Head of Genesis,(02) 8397 3000,marketing@genesis.com.au,"PGA Golf. Emerging luxury; looking for lifestyle ""disruptor"" events.",,,
Automotive,Tesla,Marketing Mgr,(02) 9345 3000,australia_sales@tesla.com,"Tech Summits. Pitch the ""Electric Arena"" charging activation.",,,
Automotive,Polestar,Head of Mktg,(02) 8317 2800,marketing.au@polestar.com,"Art Fairs. Focus on the ""Clean Design"" of the F3 Polo branding.",,,
Automotive,BYD,Luke Todd (CEO),(02) 8077 3530,luke.todd@evdirect.com.au,UEFA Euro. Global sponsor; looking for Australian brand elevation.,,,
Automotive,Zeekr,Head of Mktg,(02) 8320 0200,marketing@zeekr.com.au,New Brand Launch. High budget for 2026 activations to steal market share.,,,
Automotive,Cadillac,Marketing Lead,(03) 9647 1111,marketing@cadillac.com.au,"US Sports. Leverage the ""Fresh"" American luxury angle.",,,
Automotive,Rolls-Royce,Brand Manager,(07) 3000 7000,info@rolls-roycemotorcars.com.au,Private Wealth events. Pitch as a high-security exclusive VIP area sponsor.,,,
Automotive,McLaren,Partnerships,(02) 8336 4400,marketing.anz@mclaren.com,"F1. Pitch as the ""Polo equivalent of the Paddock Club.""",,,
Airlines & Travel,Qantas,Petra Perry (CMO),(02) 9691 3636,petraperry@qantas.com.au,"Qantas Arts Program. Pitch the ""Design & Grace"" of F3 Polo.",,,
Airlines & Travel,Virgin Australia,Head of Brand,(07) 3295 3000,marketing@virginaustralia.com,"AFL. Pitch as the ""Elite/Platinum"" tier to their mass-sport AFL deal.",,,
Airlines & Travel,Qatar Airways,Regional Mgr,(02) 8333 8400,aus_sales@au.qatarairways.com,"FIFA / F1. Align the ""F3"" brand with their global speed portfolio.",,,
Airlines & Travel,Emirates,Barry Brown (VP),(02) 9290 9400,barry.brown@emirates.com,Tennis / Godolphin. Use their massive global Polo heritage.,,,
Airlines & Travel,Singapore Air,Marketing Dept,(02) 9350 0100,au_marketing@singaporeair.com.sg,"F1 / Gourmet. Pitch the ""VIP Dining & Lounge"" experience.",,,
Airlines & Travel,Etihad Airways,Regional Mgr,(02) 9020 1800,aus_marketing@etihad.ae,"Man City. Focus on ""Premium Excellence"" and Sydney wealth.",,,
